Práctica ,Dirección de Proyectos,7,11,2024
Práctica 1.2,Arquitectura de Datos,10,11,2024
Selección de subconjuntos,Análisis de Datos,29,11,2024
Práctica 2,Arquitectura de Datos,8,12,2024
Seguridad Web,Ciberseguridad,7,12,2024
Análisis y Diseño,Dirección de Proyectos,4,12,2024
Matlab,IAO,11,12,2024
